,Date,Impressions (total),Unique impressions (organic),Clicks (total),Reactions (total),Comments (total),Shares (total),Engagement rate (total)
352,02/16/2022,228,56,96,6,0,0,0.4473684210526316
353,02/17/2022,335,66,190,12,1,0,0.6059701492537314
354,02/18/2022,245,64,29,1,0,0,0.12244897959183673
355,02/19/2022,422,67,96,0,1,0,0.22985781990521326
356,02/20/2022,426,42,221,1,0,0,0.5211267605633803
357,02/21/2022,116,21,35,1,0,0,0.3103448275862069
358,02/22/2022,452,35,198,2,0,0,0.4424778761061947
359,02/23/2022,260,25,51,0,0,0,0.19615384615384615
360,02/24/2022,153,20,40,0,0,0,0.26143790849673204
361,02/25/2022,1773,982,1456,32,8,4,0.8460236886632826
362,02/26/2022,584,336,346,3,1,0,0.5993150684931506
363,02/27/2022,253,129,83,0,3,0,0.33992094861660077
364,02/28/2022,229,0,170,0,0,0,0.74235807860262
